,SchoolCode,TOTAL_EL
1287,5037700,588
1288,5132758,9
1289,5135256,37
1290,5137500,16
1291,5139001,161
1292,5231675,23
1293,5231709,235
1294,5235106,22
1295,5237151,13
1296,5237201,98
1297,5330022,1
1298,5337407,9
1299,5337456,7
1300,5430046,259
1301,5430061,19
1302,5430145,6
1303,5430210,134
1304,5430251,305
1305,5430301,38
1306,5430368,122
1307,5431184,512
1308,5431598,105
1309,5432414,198
1310,5432786,272
1311,5432828,233
1312,5433230,318
1313,5434113,426
1314,5434527,156
1315,5434931,93
1316,5435409,213
1317,5435466,216
1318,5436282,99
1319,5530043,1
1320,5530076,1
1321,5530084,4
1322,5536503,19
1323,5536750,3
1324,5630116,60
1325,5630132,19
1326,5630223,11
1327,5630298,2
1328,5630322,32
1329,5630348,29
1330,5630389,432
1331,5630793,148
1332,5631619,90
1333,5631742,394
1334,5632021,106
1335,5632849,392
1336,5633250,90
1337,5633748,130
1338,5634076,26
1339,5634548,237
1340,5634761,271
1341,5635008,222
1342,5635776,248
1343,5636188,145
1344,5637004,98
1345,5637822,268
1346,5732904,62
1347,5735154,198
1348,5738802,116
1349,5830013,281
1350,5830047,5
1351,5835202,67
1352,5838305,46
1353,6112619,2
