,School Code,Homeless Student Enrollment (Rate)
72019,0102871,0.010482180293501049
72026,3032109,0.015116811726981219
72045,3037553,0.05002908667830134
74457,3130101,0.02
74465,3131851,0.02384737678855326
74467,3132453,0.02694610778443114
74468,0102293,0.024752475247524754
74469,0138081,0.014084507042253521
74471,3135704,0.03918613413715147
74484,3130150,0.011161846778285134
74493,0108084,0.004786979415988511
74517,0116459,0.08797032326444092
74518,3130184,0.006243996157540826
74519,3130119,0.03389830508474576
74523,3135308,0.02347762289068232
74524,3136504,0.03701298701298701
74525,0139840,0.008636363636363636
74526,3130176,0.047784967645594825
74533,3130010,0.03375527426160337
74538,3138500,0.008648648648648649
74549,3134657,0.06521739130434782
74555,0140541,0.022979985174203115
75098,0100057,0.26666666666666666
79258,0125732,0.08890086206896551
79260,3330008,0.10351201478743069
79266,3334299,0.12073490813648294
79289,3330479,0.0393574297188755
79307,3330990,0.041444398851046366
79309,0100255,0.04607594936708861
79315,0121673,0.011406844106463879
79329,3330446,0.01725923369002416
79334,3331600,0.019830028328611898
79343,0110627,0.007198952879581152
79352,0110759,0.005698005698005698
79360,3334232,0.014699127239320165
79371,3330701,0.008563018464008563
79395,3333192,0.04678638941398866
79402,3330669,0.013556618819776715
79408,3330388,0.008775981524249422
79411,0118885,0.028735632183908046
79430,3332673,0.02525832376578645
79438,0113159,0.03326509723643808
79440,3330537,0.03709126403123475
79452,3330412,0.017051705170517052
79459,0114157,0.015810276679841896
79462,3337136,0.014577259475218658
79478,3332350,0.08005822416302766
79482,0107920,0.08213096559378469
79491,3330487,0.0471584038694075
79524,3330396,0.018844735764031135
79537,3333770,0.028338342636324603
79552,3330438,0.02175414364640884
79553,3331071,0.025845864661654134
79567,0118794,0.00878003696857671
79569,3330529,0.006398537477148081
79575,0100420,0.00835975785528971
79579,3331014,0.06837606837606838
79588,3330578,0.08002832861189801
79591,3330818,0.08603896103896104
79602,3335130,0.07969639468690702
79604,0127316,0.09319233311302048
79612,3335759,0.023106546854942234
79628,0113191,0.02433281004709576
79629,0140491,0.02167300380228137
79631,3330727,0.017830609212481426
79633,3335973,0.04735959765297569
79638,0128397,0.07439824945295405
79641,0128777,0.05827067669172932
79646,0125237,0.019230769230769232
79657,3330024,0.061515748031496065
79673,3334406,0.05640314378178456
79680,3330859,0.02462526766595289
79688,3336237,0.05857898715041572
79690,3336492,0.048608042421564294
79717,3331006,0.01809954751131222
79723,3337656,0.03218562874251497
79731,3330743,0.003981623277182236
79735,0105734,0.006203068886712374
79748,3330636,0.0
79755,3330370,0.009417509591907918
79762,0109108,0.03519907674552799
79773,0133306,0.03653322969296541
79775,3330552,0.03423423423423423
82406,3430378,0.07600281491907107
82424,0116897,0.015945330296127564
82434,3432572,0.016835016835016835
82439,3430477,0.042437431991294884
82442,3430873,0.011280931586608443
82456,3430592,0.015425297487880123
82462,0105916,0.03598326359832636
82465,0108753,0.013846153846153847
82475,3430618,0.027101335428122545
82482,3430170,0.07982261640798226
82491,3431533,0.0666049953746531
82496,3433216,0.01956882255389718
82502,3434792,0.08376963350785341
82519,0113571,0.0044004400440044
82534,3433471,0.027054108216432865
82535,0119131,0.03208556149732621
82543,0102236,0.030277544154751892
82548,3430584,0.07456828885400314
82550,0112425,0.0
82567,4835302,0.05027932960893855
82575,0137950,0.07466666666666667
82586,0108951,0.03550295857988166
82590,3435419,0.05680173661360347
82610,0101899,0.022222222222222223
82614,3434636,0.11524547803617571
82622,3434768,0.06509539842873176
82627,3431012,0.09326424870466321
82642,0101972,0.04678007290400972
82643,0102038,0.1108695652173913
82644,0101881,0.048484848484848485
82657,0101907,0.0091324200913242
82661,3430865,0.0054585152838427945
82682,3430493,0.023703703703703703
82688,3431111,0.02145214521452145
82692,3432051,0.04888352444176222
82698,3432317,0.04134762633996937
82699,3430386,0.09491525423728814
82700,3432838,0.12365591397849462
82722,0135772,0.019230769230769232
82723,3430048,0.07312049433573635
82724,3435930,0.07962138084632517
82735,3436714,0.01361573373676248
82737,3438504,0.10647482014388489
