Name,Ranking,City,School District,Graduation Rate,College Readiness,Enrollment
Laguna Beach High School,#99,Laguna Beach,Laguna Beach Unified School District,97%,61.0,883
Fountain Valley High School,#100,Fountain Valley,Huntington Beach Union High,96%,51.7,3130
Middle College High School,#101,Los Angeles,Los Angeles Unified School District,100%,45.4,353
Santa Monica High School,#102,Santa Monica,Santa Monica-Malibu Unified School District,96%,56.3,2573
Westmont High School,#103,Campbell,Campbell Union High,96%,62.2,1726
Granite Bay High School,#104,Granite Bay,Roseville Joint Union High,95%,60.7,2005
El Segundo High School,#105,El Segundo,El Segundo Unified School District,98%,63.0,1290
West Ranch High School,#106,Valencia,William S. Hart Union High,98%,55.0,1843
University City High School,#107,San Diego,San Diego Unified School District,97%,49.7,1505
La Jolla High School,#108,La Jolla,San Diego Unified School District,99%,58.7,1213
Del Lago Academy - Campus of Applied Science,#109,Escondido,Escondido Union High,98%,61.8,757
Walnut High School,#110,Walnut,Walnut Valley Unified School District,98%,54.7,2138
Rancho Bernardo High School,#111,San Diego,Poway Unified School District,93%,51.3,2278
Crescenta Valley HighSchool,#112,La Crescenta,Glendale Unified School District,98%,60.2,2532
Harmony Magnet Academy,#113,Strathmore,Porterville Unified School District,98%,43.5,512
Granada Hills Charter High School,#114,Granada Hills,Granada Hills Charter High District,94%,55.6,4701
University Preparatory,#115,Redding,University Preparatory District,99%,56.7,542
The Grove School,#116,Redlands,Grove District,92%,60.8,155
Burlingame High School,#117,Burlingame,San Mateo Union High,97%,49.1,1540
Palos Verdes High School,#118,Palos Verdes Estates,Palos Verdes Peninsula Unified School District,97%,57.6,1419
George Washington High School,#119,San Francisco,San Francisco Unified School District,93%,55.7,2008
California School of the Arts - San Gabriel Valley,#120,Duarte,California School of The Arts - San Gabriel Valley District,99%,50.5,935
Valencia High School,#121,Placentia,Placentia-Yorba Linda Unified School District,94%,47.9,2424
Tamalpais High School,#122,Mill Valley,Tamalpais Union High,99%,60.1,1544
Davis Senior High School,#123,Davis,Davis Joint Unified School District,95%,53.1,1789
Gabrielino High School,#124,San Gabriel,San Gabriel Unified School District,96%,46.5,1483
Alliance Patti and Peter Neuwirth Leadership Academy,#125,Los Angeles,Alliance Patti & Peter Neuwirth Leadership Academy District,97%,47.3,597
Temple City High School,#126,Temple City,Temple City Unified School District,98%,54.1,1758
Branham High School,#127,San Jose,Campbell Union High,95%,51.6,1955
Pacific Law Academy,#128,Stockton,Stockton Unified School District,98%,47.3,198
Larchmont Charter,#129,West Hollywood,Larchmont Charter District,91%,54.8,518
Irvine High School,#130,Irvine,Irvine Unified School District,95%,57.5,1951
Mira Costa High School,#131,Manhattan Beach,Manhattan Beach Unified School District,98%,66.6,2568
Mark Keppel High School,#132,Alhambra,Alhambra Unified School District,98%,48.4,2178
Public Safety Academy,#133,Fairfield,Fairfield-Suisun Unified School District,100%,49.4,274
East Bay Innovation Academy,#134,Oakland,East Bay Innovation Academy District,98%,57.5,224
Odyssey Stem Academy,#135,Lakewood,Paramount Unified School District,99%,56.6,388
Redondo Union High School,#136,Redondo Beach,Redondo Beach Unified School District,95%,56.5,2971
South High School,#137,Torrance,Torrance Unified School District,95%,57.1,1786
Pacifica High School,#138,Garden Grove,Garden Grove Unified School District,94%,47.3,1640
Culver City High School,#139,Culver City,Culver City Unified School District,96%,51.9,2085
Coast Union High School,#140,Cambria,Coast Unified School District,97%,47.7,154
Aliso Niguel High School,#141,Aliso Viejo,Capistrano Unified School District,98%,48.3,2608
Mission Vista High School,#142,Oceanside,Vista Unified School District,97%,46.3,1662
Magnolia Science Academy,#143,Reseda,Magnolia Science Academy District,95%,62.3,363
Piedmont Hills High School,#144,San Jose,East Side Union High School District,94%,52.4,1945
Math Science & Technology Magnet Academy At Roosevelt High,#145,Los Angeles,Los Angeles Unified School District,99%,49.1,520
Environmental Charter High School,#146,Lawndale,Environmental Charter High District,96%,47.4,490
Alliance Dr. Olga Mohan High School,#147,Los Angeles,Alliance Dr. Olga Mohan High District,95%,54.8,455
Boyle Heights STEM High School,#148,Los Angeles,Los Angeles Unified School District,92%,38.0,131
Northgate High School,#149,Walnut Creek,Mt. Diablo Unified School District,97%,58.9,1535
Alliance Leichtman-Levine Environmental Science High School,#150,Los Angeles,Alliance Leichtman-Levine Fam Foundation Env Sci High District,95%,54.6,321
Valencia High School,#151,Valencia,William S. Hart Union High,95%,46.8,2258
Los Alamitos High School,#152,Los Alamitos,Los Alamitos Unified School District,97%,54.9,3005
Garden Grove High School,#153,Garden Grove,Garden Grove Unified School District,94%,45.0,2198
San Juan Hills High School,#154,San Juan Capistrano,Capistrano Unified School District,98%,57.0,2768
Yorba Linda High School,#155,Yorba Linda,Placentia-Yorba Linda Unified School District,99%,50.7,1584
Tesoro High School,#156,Las Flores,Capistrano Unified School District,97%,48.7,2040
